source,target,synapse_count
720575940599736492,720575940622829132,5.0
720575940602380768,720575940603533246,7.0
720575940602380768,720575940618342966,6.0
720575940602380768,720575940619188577,11.0
720575940602380768,720575940625345328,13.0
720575940602380768,720575940628033944,7.0
720575940602380768,720575940628125775,12.0
720575940602380768,720575940635330204,10.0
720575940602380768,720575940637299172,7.0
720575940602879404,720575940603533246,12.0
720575940602879404,720575940607775106,6.0
720575940602879404,720575940610348773,13.0
720575940602879404,720575940610505006,5.0
720575940602879404,720575940611644529,6.0
720575940602879404,720575940612054425,13.0
720575940602879404,720575940613183717,10.0
720575940602879404,720575940613707431,12.0
720575940602879404,720575940615723314,11.0
720575940602879404,720575940618969758,11.0
720575940602879404,720575940620537153,21.0
720575940602879404,720575940621457079,9.0
720575940602879404,720575940623579063,12.0
720575940602879404,720575940626002575,15.0
720575940602879404,720575940627015196,16.0
720575940602879404,720575940627111752,7.0
720575940602879404,720575940631842360,29.0
720575940602879404,720575940632043576,20.0
720575940602879404,720575940632472850,18.0
720575940602879404,720575940635967886,64.0
720575940602879404,720575940640945115,14.0
720575940603533246,720575940620866036,5.0
720575940603533246,720575940627490459,6.0
720575940603636913,720575940602879404,48.0
720575940603636913,720575940606111433,6.0
720575940603636913,720575940609073347,45.0
720575940603636913,720575940612054425,26.0
720575940603636913,720575940614026390,5.0
720575940603636913,720575940614710509,10.0
720575940603636913,720575940618089851,16.0
720575940603636913,720575940618342966,29.0
720575940603636913,720575940619109915,13.0
720575940603636913,720575940619130096,18.0
720575940603636913,720575940620622452,67.0
720575940603636913,720575940620835327,11.0
720575940603636913,720575940620866036,7.0
720575940603636913,720575940621148660,19.0
720575940603636913,720575940621457079,13.0
720575940603636913,720575940621555603,72.0
720575940603636913,720575940624134296,24.0
720575940603636913,720575940624504212,13.0
720575940603636913,720575940625345328,21.0
720575940603636913,720575940625887631,147.0
720575940603636913,720575940626052647,10.0
720575940603636913,720575940626243614,5.0
720575940603636913,720575940626381882,43.0
720575940603636913,720575940626592387,6.0
720575940603636913,720575940627015196,9.0
720575940603636913,720575940627218882,10.0
720575940603636913,720575940627962844,7.0
720575940603636913,720575940628370732,6.0
720575940603636913,720575940628404227,6.0
720575940603636913,720575940630749523,29.0
720575940603636913,720575940631328738,18.0
720575940603636913,720575940632043576,6.0
720575940603636913,720575940632985261,20.0
720575940603636913,720575940632998136,15.0
720575940603636913,720575940633714402,16.0
720575940603636913,720575940635330204,18.0
720575940603636913,720575940635749751,19.0
720575940603636913,720575940635831438,6.0
720575940603636913,720575940636030185,46.0
720575940603636913,720575940637299172,10.0
720575940603636913,720575940641629344,16.0
720575940603636913,720575940660314241,6.0
720575940604783136,720575940603533246,6.0
720575940604783136,720575940605676210,14.0
720575940604783136,720575940609673369,15.0
720575940604783136,720575940618129573,11.0
720575940604783136,720575940618342966,30.0
720575940604783136,720575940620866036,9.0
720575940604783136,720575940621148660,21.0
720575940604783136,720575940624134296,5.0
720575940604783136,720575940626052647,7.0
720575940604783136,720575940627015196,44.0
720575940604783136,720575940628125339,20.0
720575940604783136,720575940632043576,35.0
720575940604783136,720575940634453093,5.0
720575940605095346,720575940602380768,6.0
720575940605095346,720575940603636913,8.0
720575940605095346,720575940604783136,13.0
720575940605095346,720575940605214636,11.0
720575940605095346,720575940606111433,9.0
720575940605095346,720575940607775106,10.0
720575940605095346,720575940609073347,5.0
720575940605095346,720575940609825033,5.0
720575940605095346,720575940610332024,8.0
720575940605095346,720575940610348773,8.0
720575940605095346,720575940610605747,7.0
720575940605095346,720575940612054425,18.0
720575940605095346,720575940613099493,5.0
720575940605095346,720575940613183717,21.0
720575940605095346,720575940613707431,6.0
720575940605095346,720575940614026390,18.0
720575940605095346,720575940615541810,5.0
720575940605095346,720575940615790658,7.0
720575940605095346,720575940615930299,6.0
720575940605095346,720575940616538944,5.0
720575940605095346,720575940616611001,7.0
720575940605095346,720575940617044948,6.0
720575940605095346,720575940617371732,11.0
720575940605095346,720575940617492821,5.0
720575940605095346,720575940618129573,12.0
720575940605095346,720575940618263174,5.0
720575940605095346,720575940618342966,10.0
720575940605095346,720575940619188577,5.0
720575940605095346,720575940619329957,9.0
720575940605095346,720575940619569835,6.0
720575940605095346,720575940619729286,5.0
720575940605095346,720575940620183973,15.0
720575940605095346,720575940620304110,12.0
720575940605095346,720575940620622452,14.0
720575940605095346,720575940620786431,12.0
720575940605095346,720575940620835327,6.0
720575940605095346,720575940620866036,25.0
720575940605095346,720575940621148660,7.0
720575940605095346,720575940621242025,12.0
720575940605095346,720575940621457079,6.0
720575940605095346,720575940621555603,17.0
720575940605095346,720575940621849015,5.0
720575940605095346,720575940622188568,12.0
720575940605095346,720575940622208695,7.0
720575940605095346,720575940622401462,7.0
720575940605095346,720575940622510788,6.0
720575940605095346,720575940622657684,7.0
720575940605095346,720575940623090446,11.0
720575940605095346,720575940623362698,5.0
720575940605095346,720575940623484100,5.0
720575940605095346,720575940623688119,5.0
720575940605095346,720575940624126537,6.0
720575940605095346,720575940624134296,32.0
720575940605095346,720575940624227661,6.0
720575940605095346,720575940624504212,13.0
720575940605095346,720575940624897516,20.0
720575940605095346,720575940625766960,7.0
720575940605095346,720575940625780836,8.0
720575940605095346,720575940625809539,14.0
720575940605095346,720575940625887631,11.0
720575940605095346,720575940626052647,14.0
720575940605095346,720575940626243614,6.0
720575940605095346,720575940626246525,15.0
720575940605095346,720575940626381882,21.0
720575940605095346,720575940626592387,22.0
720575940605095346,720575940627015196,31.0
720575940605095346,720575940627096957,43.0
720575940605095346,720575940627218882,44.0
720575940605095346,720575940627469394,7.0
720575940605095346,720575940627490459,6.0
720575940605095346,720575940627585874,21.0
720575940605095346,720575940627646026,6.0
720575940605095346,720575940627939177,7.0
720575940605095346,720575940627962844,11.0
720575940605095346,720575940628014391,14.0
720575940605095346,720575940628033944,6.0
720575940605095346,720575940628125339,13.0
720575940605095346,720575940628125775,5.0
720575940605095346,720575940628200551,25.0
720575940605095346,720575940628370732,7.0
720575940605095346,720575940628404227,9.0
720575940605095346,720575940629584887,23.0
720575940605095346,720575940629701737,23.0
720575940605095346,720575940630160384,15.0
720575940605095346,720575940630258003,5.0
720575940605095346,720575940630749523,9.0
720575940605095346,720575940630907434,6.0
720575940605095346,720575940630934595,8.0
720575940605095346,720575940631328738,5.0
720575940605095346,720575940631447879,7.0
720575940605095346,720575940631469610,9.0
720575940605095346,720575940632043320,7.0
720575940605095346,720575940632043576,29.0
720575940605095346,720575940632509711,16.0
720575940605095346,720575940632580503,9.0
720575940605095346,720575940632998136,10.0
720575940605095346,720575940633401199,17.0
720575940605095346,720575940633483444,9.0
720575940605095346,720575940633714402,5.0
720575940605095346,720575940634453093,8.0
720575940605095346,720575940635330204,13.0
720575940605095346,720575940635749751,16.0
720575940605095346,720575940635831438,8.0
720575940605095346,720575940635863214,26.0
720575940605095346,720575940636030185,22.0
720575940605095346,720575940636871246,5.0
720575940605095346,720575940637299172,15.0
720575940605095346,720575940637471039,9.0
720575940605095346,720575940637755507,8.0
720575940605095346,720575940640597237,7.0
720575940605095346,720575940640616253,6.0
720575940605095346,720575940640945115,14.0
