id,neuron_type,neurotransmitter,role,region,x,y,z
37365,sens-photoRh6,unknown,sensory,left,0.0,0.0,0.0
2200028,sens-photoRh6,unknown,sensory,left,0.0,0.0,0.0
2204467,LON,unknown,inter,left,0.0,0.0,0.0
2206279,sens-photoRh6,unknown,sensory,left,0.0,0.0,0.0
2209091,sens-photoRh5,unknown,sensory,left,0.0,0.0,0.0
2215247,sens-photoRh6,unknown,sensory,left,0.0,0.0,0.0
2215447,sens-photoRh6,unknown,sensory,left,0.0,0.0,0.0
2215622,sens-photoRh6,unknown,sensory,left,0.0,0.0,0.0
2216131,sens-photoRh6,unknown,sensory,left,0.0,0.0,0.0
2216187,sens-photoRh5,unknown,sensory,left,0.0,0.0,0.0
2216445,sens-photoRh6,unknown,sensory,left,0.0,0.0,0.0
2379529,LHN,unknown,inter,left,0.0,0.0,0.0
2439134,LHN,unknown,inter,left,0.0,0.0,0.0
2568465,mPN-multi,unknown,inter,left,0.0,0.0,0.0
2797480,unk,unknown,inter,left,0.0,0.0,0.0
3450751,CN,unknown,inter,right,0.0,0.0,0.0
3486381,uPN,unknown,inter,left,0.0,0.0,0.0
3538129,mPN-olfac,unknown,inter,right,0.0,0.0,0.0
3712893,mPN-olfac,unknown,inter,left,0.0,0.0,0.0
3794023,LHN,unknown,inter,right,0.0,0.0,0.0
3928574,RGN-CA-LP,unknown,inter,left,0.0,0.0,0.0
3928652,RGN-CA-LP,unknown,inter,left,0.0,0.0,0.0
3946364,unk,unknown,inter,left,0.0,0.0,0.0
4134539,KC-3claw,unknown,inter,left,0.0,0.0,0.0
4228119,unk,unknown,inter,right,0.0,0.0,0.0
4279887,LHN,unknown,inter,left,0.0,0.0,0.0
4391317,LHN,unknown,inter,left,0.0,0.0,0.0
4422289,LHN,unknown,inter,left,0.0,0.0,0.0
4433960,CN,unknown,inter,left,0.0,0.0,0.0
4473922,CN,unknown,inter,right,0.0,0.0,0.0
4607160,unk,unknown,inter,left,0.0,0.0,0.0
4635057,LHN,unknown,inter,left,0.0,0.0,0.0
4636432,LHN,unknown,inter,left,0.0,0.0,0.0
4637677,unk,unknown,inter,left,0.0,0.0,0.0
4721538,LHN;CN,unknown,inter,left,0.0,0.0,0.0
4780707,LHN,unknown,inter,left,0.0,0.0,0.0
4926999,LHN,unknown,inter,left,0.0,0.0,0.0
5118060,LHN,unknown,inter,left,0.0,0.0,0.0
5261424,mPN-multi,unknown,inter,left,0.0,0.0,0.0
5289042,LHN;CN,unknown,inter,left,0.0,0.0,0.0
5321459,CN,unknown,inter,right,0.0,0.0,0.0
5678582,unk,unknown,inter,left,0.0,0.0,0.0
