source,target,synapse_count
37365,2200028,1.0
37365,8111135,2.0
37365,8700125,16.0
37365,9927082,5.0
37365,16087799,2.0
37365,17414715,15.0
2200028,37365,1.0
2200028,2204467,2.0
2200028,8118929,1.0
2200028,8700125,27.0
2200028,9927082,7.0
2200028,16087799,1.0
2200028,17414715,29.0
2204467,2379529,1.0
2204467,3928574,1.0
2204467,3928652,1.0
2204467,4637677,1.0
2204467,4780707,2.0
2204467,7187384,1.0
2204467,7582412,3.0
2204467,8118929,2.0
2204467,9445876,2.0
2204467,9747418,1.0
2204467,9927082,2.0
2204467,11144258,4.0
2204467,12745771,2.0
2204467,16087799,1.0
2204467,16098538,1.0
2204467,17047087,2.0
2206279,8118929,3.0
2206279,8700125,23.0
2206279,9567051,1.0
2206279,9927082,1.0
2206279,16087799,1.0
2206279,17414715,26.0
2209091,2204467,2.0
2209091,7952981,13.0
2209091,8111135,4.0
2209091,8118929,1.0
2209091,8340950,14.0
2209091,8700125,1.0
2209091,9567051,10.0
2209091,9927082,2.0
2209091,9940382,10.0
2209091,16087799,1.0
2209091,17414715,1.0
2215247,8118929,1.0
2215247,8700125,16.0
2215247,17414715,15.0
2215447,2216187,1.0
2215447,7952981,1.0
2215447,8111135,1.0
2215447,8118929,2.0
2215447,8340950,1.0
2215447,8700125,14.0
2215447,9567051,2.0
2215447,9927082,1.0
2215447,16087799,1.0
2215447,17414715,22.0
2215622,2204467,1.0
2215622,7694589,1.0
2215622,8118929,1.0
2215622,8700125,12.0
2215622,16087799,1.0
2215622,17414715,17.0
2216131,2204467,1.0
2216131,8111135,1.0
2216131,8118929,1.0
2216131,8700125,17.0
2216131,9927082,3.0
2216131,16087799,4.0
2216131,17414715,15.0
2216187,2204467,3.0
2216187,7694589,1.0
2216187,7952981,10.0
2216187,8111135,8.0
2216187,8118929,4.0
2216187,8340950,19.0
2216187,8700125,3.0
2216187,9567051,15.0
2216187,9927082,6.0
2216187,9940382,2.0
2216187,16087799,6.0
2216187,17414715,5.0
2216445,2204467,3.0
2216445,8118929,1.0
2216445,8340950,1.0
2216445,8700125,25.0
2216445,9927082,5.0
2216445,16087799,3.0
2216445,17414715,31.0
2379529,9747418,1.0
2379529,14333371,2.0
2379529,14461238,1.0
2379529,14818307,1.0
