id,neuron_type,neurotransmitter,role,region,x,y,z
10001,DNp01,ACH,motor-related,brain/VNC,296992.0,178064.0,290192.0
10010,DNp01,ACH,motor-related,brain/VNC,465904.0,177872.0,290208.0
10052,LoVC14,GABA,inter,brain,475168.0,168512.0,120192.0
10067,MeVPLp1,ACH,inter,brain,547120.0,278432.0,201984.0
10078,MeVC1,ACH,inter,brain,406600.0,145912.0,278624.0
10091,DNpe042,ACH,motor-related,brain/VNC,485440.0,188960.0,297408.0
10106,DNp11,ACH,motor-related,brain/VNC,311944.0,219760.0,305976.0
10117,DNp02,ACH,motor-related,CG,294576.0,169824.0,283536.0
10128,SAD103,GABA,inter,LB,392016.0,353880.0,280824.0
10143,DNp30,GLUT,motor-related,brain/VNC,399552.0,187368.0,300096.0
10146,AMMC-A1,ACH,inter,brain,282648.0,192112.0,290368.0
10150,AN27X013,unclear,inter,T2,367768.0,520936.0,730832.0
10151,DNge103,GABA,motor-related,LB,315696.0,325600.0,288888.0
10173,PVLP151,ACH,inter,brain,588872.0,166688.0,178144.0
10180,AN02A002,GLUT,inter,T2,373184.0,503168.0,683920.0
10184,CL366,GABA,inter,brain,483296.0,296368.0,155056.0
10246,SAD096,GABA,inter,LB,392112.0,361488.0,284448.0
10257,AMMC-A1,ACH,inter,brain,498272.0,190544.0,289064.0
10277,AMMC-A1,ACH,inter,brain,279592.0,186640.0,287952.0
10283,DNp103,ACH,motor-related,brain/VNC,276944.0,198960.0,295184.0
10297,LHAD1g1,GABA,inter,brain,186032.0,111648.0,216128.0
10315,SAD073,GABA,inter,brain,275808.0,305952.0,162752.0
10402,MZ_lv2PN,GABA,inter,brain,280752.0,300448.0,143976.0
10434,AN19B019,ACH,inter,T1,322384.0,372328.0,650712.0
10440,DNg16,ACH,motor-related,LB,280856.0,305384.0,278560.0
10443,MeVPMe12,ACH,inter,brain,400200.0,141120.0,263264.0
10451,MeVPMe12,ACH,inter,brain,412712.0,174576.0,291184.0
10570,SAD107,GABA,inter,brain,305600.0,324488.0,187776.0
10576,AN12B004,GABA,inter,T2,445640.0,519984.0,845008.0
10580,DNp70,ACH,motor-related,CG,459616.0,165120.0,307568.0
10584,DNp06,ACH,motor-related,CG,294528.0,172800.0,295680.0
10588,AVLP710m,GABA,inter,brain,242384.0,164584.0,289696.0
10649,DNp38,ACH,motor-related,brain/VNC,417520.0,148472.0,273040.0
10654,DNb01,GLUT,motor-related,brain/VNC,480400.0,220464.0,147920.0
10671,AN02A002,GLUT,inter,T2,409136.0,505696.0,692896.0
10689,AN12B001,GABA,inter,T1,431488.0,507184.0,673192.0
10728,WED116,ACH,inter,brain,485600.0,211536.0,296032.0
10841,AN09B004,ACH,inter,T3,499928.0,466192.0,933648.0
10923,DNg40,GLUT,motor-related,MX,349696.0,376800.0,178576.0
10924,DNa04,ACH,motor-related,brain/VNC,268584.0,163280.0,142896.0
10925,AVLP542,GABA,inter,brain,238248.0,168896.0,284816.0
10937,CL251,ACH,inter,brain,351304.0,82488.0,228008.0
10957,DNp69,ACH,motor-related,CG,302896.0,175688.0,307808.0
10992,PVLP122,ACH,inter,brain,483800.0,205648.0,303608.0
11011,AN07B018,ACH,inter,T1,377584.0,497416.0,560864.0
11015,MeVPMe3,GLUT,inter,brain,568336.0,244528.0,183232.0
11065,DNp14,ACH,motor-related,brain/VNC,317496.0,164928.0,285608.0
11101,AVLP502,ACH,inter,brain,481912.0,188848.0,291208.0
11133,DNp70,ACH,motor-related,CG,306144.0,183240.0,301640.0
11205,SAD073,GABA,inter,brain,484304.0,284648.0,142904.0
11257,DNp45,ACH,motor-related,brain/VNC,276848.0,178024.0,298552.0
11272,PVLP062,ACH,inter,brain,570888.0,221864.0,160088.0
11334,DNpe045,ACH,motor-related,CG,280272.0,132904.0,285736.0
11353,CL319,ACH,inter,CG,330768.0,160408.0,306272.0
11361,CL367,GABA,inter,brain,296040.0,308304.0,160104.0
11391,SAD109,GABA,inter,LB,394816.0,372896.0,278000.0
11397,SAD013,GABA,inter,brain,258520.0,171192.0,141792.0
