source,target,synapse_count
10001,10010,1.0
10001,10052,1.0
10001,10078,1.0
10001,10091,5.0
10001,10106,9.0
10001,10117,8.0
10001,10128,12.0
10001,10143,6.0
10001,10146,1.0
10001,10150,1.0
10001,10151,1.0
10001,10173,4.0
10001,10180,14.0
10001,10184,2.0
10001,10246,15.0
10001,10257,2.0
10001,10277,5.0
10001,10283,18.0
10001,10297,1.0
10001,10315,3.0
10001,10402,1.0
10001,10434,3.0
10001,10440,1.0
10001,10570,1.0
10001,10580,8.0
10001,10584,9.0
10001,10588,1.0
10001,10649,1.0
10001,10654,1.0
10001,10671,7.0
10001,10728,5.0
10001,10841,2.0
10001,10923,10.0
10001,10924,8.0
10001,10925,3.0
10001,10937,1.0
10001,10957,2.0
10001,10992,1.0
10001,11101,1.0
10001,11133,13.0
10001,11205,3.0
10001,11257,1.0
10001,11272,2.0
10001,11334,2.0
10001,11353,1.0
10001,11361,5.0
10001,11391,23.0
10001,11397,4.0
10001,11431,3.0
10001,11462,1.0
10001,11507,1.0
10001,11572,9.0
10001,11687,1.0
10001,11761,3.0
10001,11782,4.0
10001,11826,1.0
10001,11832,3.0
10001,12041,6.0
10001,12053,1.0
10001,12129,1.0
10001,12184,1.0
10001,12215,2.0
10001,12275,3.0
10001,12419,1.0
10001,12614,2.0
10001,12628,9.0
10001,12771,1.0
10001,12857,1.0
10001,13114,3.0
10001,13122,4.0
10001,13256,4.0
10001,13263,1.0
10001,13317,13.0
10001,13578,2.0
10001,13600,1.0
10001,13654,3.0
10001,13794,1.0
10001,13815,2.0
10001,13825,5.0
10001,13919,2.0
10001,13995,1.0
10001,14017,1.0
10001,14091,2.0
10001,14113,1.0
10001,14277,1.0
10001,14379,1.0
10001,14387,4.0
10001,14419,2.0
10001,14502,1.0
10001,14573,1.0
10001,14863,15.0
10001,14899,7.0
10001,15261,1.0
10001,15291,2.0
10001,15323,1.0
10001,15331,1.0
10001,15336,1.0
10001,15414,3.0
10001,15514,1.0
10001,15559,1.0
10001,15639,1.0
10001,15665,4.0
10001,15733,2.0
10001,15792,1.0
10001,15959,1.0
10001,16445,6.0
10001,16459,2.0
10001,16482,1.0
10001,16542,11.0
10001,16628,1.0
10001,16644,2.0
10001,16855,3.0
10001,16931,1.0
10001,17144,8.0
10001,17284,1.0
10001,17322,1.0
10001,17416,2.0
10001,17527,1.0
10001,17584,1.0
10001,17616,2.0
10001,17757,4.0
10001,18090,2.0
10001,18111,1.0
10001,18133,1.0
10001,18705,2.0
10001,18716,2.0
10001,18940,1.0
10001,18957,3.0
10001,18959,1.0
10001,19634,1.0
10001,19668,1.0
10001,20269,1.0
10001,20338,2.0
10001,20535,1.0
10001,20831,4.0
10001,21151,1.0
10001,21251,1.0
10001,21336,1.0
10001,21548,1.0
10001,21562,1.0
10001,21641,1.0
10001,21804,1.0
10001,21813,1.0
10001,22034,2.0
10001,22309,1.0
10001,22328,1.0
10001,23590,1.0
10001,24115,7.0
10001,27620,3.0
10001,27950,1.0
10001,28620,1.0
10001,28663,1.0
10001,29523,1.0
10001,30465,1.0
10001,30480,1.0
10001,31334,1.0
10001,31440,1.0
10001,31784,3.0
10001,31964,1.0
10001,33474,3.0
10001,34869,3.0
10001,36102,3.0
10001,36717,2.0
10001,39064,1.0
10001,46221,2.0
10001,46961,3.0
10001,48633,3.0
10001,57245,4.0
10001,58284,2.0
10001,61011,3.0
10001,65465,10.0
10010,10001,1.0
10010,10078,1.0
10010,10091,15.0
10010,10106,90.0
10010,10128,4.0
10010,10146,1.0
10010,10246,18.0
10010,10257,2.0
10010,10277,1.0
10010,10283,2.0
10010,10315,2.0
10010,10576,1.0
10010,10580,19.0
10010,10671,1.0
10010,10992,8.0
10010,11133,4.0
10010,11272,10.0
10010,11361,3.0
10010,11391,14.0
10010,11572,8.0
10010,11826,4.0
10010,11832,1.0
10010,12053,4.0
10010,12614,4.0
10010,12628,5.0
10010,14899,14.0
10010,16482,3.0
10010,16931,2.0
10010,17584,1.0
10010,17757,3.0
10010,28663,2.0
10010,31334,3.0
10010,48633,12.0
10010,57245,6.0
10010,61011,1.0
10010,65465,8.0
10052,10106,4.0
10052,16628,12.0
10052,19634,3.0
10052,21151,1.0
10052,22328,2.0
10052,30480,1.0
10067,10078,7.0
10067,10451,3.0
10067,11015,2.0
10067,11507,2.0
10067,12275,3.0
10067,13263,3.0
10067,13654,1.0
10067,13825,2.0
10067,14017,15.0
10067,15514,1.0
10067,15733,1.0
10067,17284,1.0
10067,17757,1.0
10067,20269,2.0
10067,23590,6.0
10067,75080,1.0
10067,111999,1.0
10078,35852,2.0
10078,40996,2.0
10078,51117,3.0
10078,515278,1.0
10091,10001,74.0
10091,10010,214.0
10091,10146,2.0
10091,10151,6.0
10091,10173,1.0
10091,10180,1.0
10091,10184,23.0
10091,10257,4.0
10091,10283,96.0
10091,10315,5.0
10091,10580,66.0
10091,10584,2.0
10091,10588,2.0
10091,10728,4.0
10091,10923,1.0
10091,10992,10.0
10091,11133,28.0
10091,11205,1.0
10091,11257,5.0
10091,11272,3.0
10091,11334,12.0
10091,11353,2.0
10091,11361,10.0
10091,11507,2.0
10091,11687,1.0
10091,11826,10.0
10091,11832,15.0
10091,12041,2.0
10091,12184,1.0
10091,12215,2.0
10091,12275,5.0
10091,12405,15.0
10091,12628,9.0
10091,12771,1.0
